Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
human_GO_bp_2025.gmt,Cardiac Muscle Cell Action Potential Involved in Contraction (GO:0086002),1/14,0.6318848753615329,0.7939066382747465,1.5018380173129373,0.6894158292825293,GJA1
human_GO_bp_2025.gmt,Cardiac Muscle Tissue Development (GO:0048738),1/14,0.6318848753615329,0.7939066382747465,1.5018380173129373,0.6894158292825293,GJA1
human_GO_bp_2025.gmt,Cell Chemotaxis (GO:0060326),3/27,0.2834332643944975,0.6915159365043801,1.9358444342367171,2.4406712017108116,RNASE1;CCL3L1;CCL3
human_GO_bp_2025.gmt,Cell Communication by Electrical Coupling Involved in Cardiac Conduction (GO:0086064),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,GJA1
human_GO_bp_2025.gmt,Cell Cycle G1/S Phase Transition (GO:0044843),3/29,0.32205325832356896,0.7014344967109387,1.7891767275374628,2.027205844712142,KHDRBS1;CUL2;CCNB1
human_GO_bp_2025.gmt,Cell Cycle G2/M Phase Transition (GO:0044839),2/24,0.49936693914536984,0.737352910867403,1.50291146761735,1.0436429208959674,KHDRBS1;CCNB1
human_GO_bp_2025.gmt,Cell Junction Assembly (GO:0034329),5/41,0.14839761667041745,0.6588977933440335,2.046817169736202,3.905040622953631,PCDHB4;PCDHB2;PCDHB3;PCDHB11;PCDHB16
human_GO_bp_2025.gmt,Cell Junction Maintenance (GO:0034331),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,KIRREL1
human_GO_bp_2025.gmt,Cell Junction Organization (GO:0034330),1/29,0.8741256737720192,0.9286104718662102,0.7097118463180363,0.09547833109714432,PRKCI
human_GO_bp_2025.gmt,Cell Projection Assembly (GO:0030031),2/5,0.04112405183442642,0.5716534864927361,9.690603514132926,30.924286911029,RNASE1;NCKAP1
human_GO_bp_2025.gmt,Cell Projection Organization (GO:0030030),2/9,0.12341571831772508,0.6579351544822044,4.519429590017825,9.455536119984815,RNASE1;NCKAP1
human_GO_bp_2025.gmt,Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),7/107,0.6114529170954293,0.7868993548962845,1.0077450584913272,0.4957272510111097,SHCBP1;FRK;EPHB6;RNASE1;GRB2;VEGFC;PTPN2
human_GO_bp_2025.gmt,Cell Surface Receptor Signaling Pathway via JAK-STAT (GO:0007259),3/19,0.13848754828715668,0.6588977933440335,2.8780733378804118,5.689878638428443,IFNL4;IFNG;CSF2RB
human_GO_bp_2025.gmt,Cell Surface Receptor Signaling Pathway via STAT (GO:0097696),2/17,0.3286927389544668,0.7014344967109387,2.1840607210626186,2.430055605212287,IFNG;CSF2RB
human_GO_bp_2025.gmt,Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),1/10,0.5101278301715297,0.737352910867403,2.135538954108858,1.437418322826163,LGALS9
human_GO_bp_2025.gmt,Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742),7/57,0.09446340090032038,0.6579351544822044,2.0215681027562216,4.7699764849363815,CEACAM1;PCDHB4;EMB;PCDHB2;PCDHB3;PCDHB11;PCDHB16
human_GO_bp_2025.gmt,Cell-Cell Junction Assembly (GO:0007043),2/24,0.49936693914536984,0.737352910867403,1.50291146761735,1.0436429208959674,FBF1;GJA1
human_GO_bp_2025.gmt,Cell-Cell Junction Maintenance (GO:0045217),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,KIRREL1
human_GO_bp_2025.gmt,Cell-Cell Junction Organization (GO:0045216),2/25,0.5214627645355767,0.748767046512623,1.4387302309705314,0.9367822984975749,PRKCI;KIRREL1
human_GO_bp_2025.gmt,Cell-Matrix Adhesion (GO:0007160),1/43,0.9538686872571238,0.9762833561482834,0.4748697344466068,0.02242774681545873,RNASE1
human_GO_bp_2025.gmt,Cellular Component Assembly (GO:0022607),6/110,0.7782246237172634,0.8756143871904916,0.8375992939099736,0.21001971148719598,RNASE1;SHROOM2;AIF1L;NIFK;CFAP206;NCKAP1
human_GO_bp_2025.gmt,Cellular Component Disassembly (GO:0022411),1/7,0.39311349314694843,0.7187522822462863,3.1226500287332732,2.9154838148419593,KLK4
human_GO_bp_2025.gmt,Cellular Response to Acetylcholine (GO:1905145),1/3,0.19262675285006695,0.6588977933440335,8.12401280683031,13.380256287293214,LY6E
human_GO_bp_2025.gmt,Cellular Response to Acid Chemical (GO:0071229),1/14,0.6318848753615329,0.7939066382747465,1.5018380173129373,0.6894158292825293,IPO5
human_GO_bp_2025.gmt,Cellular Response to Alcohol (GO:0097306),4/18,0.03130223421655904,0.502888352987342,4.221156339123671,14.622363324584196,CES1;GNAS;RAD51;DYNAP
human_GO_bp_2025.gmt,Cellular Response to Alkaloid (GO:0071312),1/8,0.434927768409778,0.7199817787864567,2.7058697972251866,2.2528403887996764,RAD51
human_GO_bp_2025.gmt,Cellular Response to Amino Acid Starvation (GO:0034198),1/22,0.7922417435473148,0.8817682097403391,0.9418232359584027,0.21933999092617165,MIOS
